legacy_index,n_candidates,descriptor_name,all_candidates
0,2,MaxAbsEStateIndex,"MaxAbsEStateIndex, MaxEStateIndex"
1,1,MinEStateIndex,MinEStateIndex
2,2,MaxAbsEStateIndex,"MaxAbsEStateIndex, MaxEStateIndex"
3,1,MinAbsEStateIndex,MinAbsEStateIndex
4,1,qed,qed
5,1,MolWt,MolWt
6,1,HeavyAtomMolWt,HeavyAtomMolWt
7,1,ExactMolWt,ExactMolWt
8,1,NumValenceElectrons,NumValenceElectrons
14,1,FpDensityMorgan1,FpDensityMorgan1
15,1,FpDensityMorgan2,FpDensityMorgan2
16,1,FpDensityMorgan3,FpDensityMorgan3
25,1,BalabanJ,BalabanJ
26,1,BertzCT,BertzCT
27,1,Chi0,Chi0
28,1,Chi0n,Chi0n
29,1,Chi0v,Chi0v
30,1,Chi1,Chi1
31,1,Chi1n,Chi1n
32,1,Chi1v,Chi1v
33,1,Chi2n,Chi2n
34,1,Chi2v,Chi2v
35,1,Chi3n,Chi3n
36,1,Chi3v,Chi3v
37,1,Chi4n,Chi4n
38,1,Chi4v,Chi4v
39,1,HallKierAlpha,HallKierAlpha
40,0,(unmatched),
41,1,Kappa1,Kappa1
42,1,Kappa2,Kappa2
43,1,Kappa3,Kappa3
44,1,LabuteASA,LabuteASA
45,1,PEOE_VSA1,PEOE_VSA1
46,1,PEOE_VSA10,PEOE_VSA10
47,1,PEOE_VSA11,PEOE_VSA11
48,1,PEOE_VSA12,PEOE_VSA12
49,1,PEOE_VSA13,PEOE_VSA13
50,1,PEOE_VSA14,PEOE_VSA14
51,1,PEOE_VSA2,PEOE_VSA2
52,1,PEOE_VSA3,PEOE_VSA3
53,1,PEOE_VSA4,PEOE_VSA4
55,1,PEOE_VSA6,PEOE_VSA6
56,1,PEOE_VSA7,PEOE_VSA7
57,1,PEOE_VSA8,PEOE_VSA8
58,1,PEOE_VSA9,PEOE_VSA9
59,1,SMR_VSA1,SMR_VSA1
60,1,SMR_VSA10,SMR_VSA10
61,1,SMR_VSA2,SMR_VSA2
62,1,SMR_VSA3,SMR_VSA3
63,1,SMR_VSA4,SMR_VSA4
64,1,SMR_VSA5,SMR_VSA5
65,1,SMR_VSA6,SMR_VSA6
66,1,SMR_VSA7,SMR_VSA7
68,1,SMR_VSA9,SMR_VSA9
69,1,SlogP_VSA1,SlogP_VSA1
70,1,SlogP_VSA10,SlogP_VSA10
