,correlation,effect,rank,total |SHAP|
VSA_EState8,0.9519233798266884,positive,1,0.4103
NumAliphaticCarbocycles,0.9617983645930558,positive,2,0.3083
NumAliphaticRings,0.9661810927861412,positive,3,0.2752
FpDensityMorgan2,-0.9448883381411414,negative,4,0.2747
SlogP_VSA4,0.9777821175226645,positive,5,0.2589
SlogP_VSA8,0.9515798409348973,positive,6,0.2587
FractionCSP3,0.9274966679330131,positive,7,0.2419
EState_VSA8,0.9634612853483664,positive,8,0.2293
FpDensityMorgan3,-0.9016040976767936,negative,9,0.2288
SlogP_VSA1,-0.8657823035436479,negative,10,0.2247
EState_VSA9,-0.9428417393660428,negative,11,0.2215
SMR_VSA6,-0.9241484179457431,negative,12,0.2164
